127.0.0.1 - - [01/Apr/2018:04:56:15 -0300] "GET / HTTP/1.1" 404 951
95.23.211.151 - - [01/Apr/2018:04:57:19 -0300] "GET /PCRS/static/crs/customForms/css/form.css HTTP/1.1" 200 572
95.23.211.151 - - [01/Apr/2018:04:57:19 -0300] "GET /PCRS/static/crs/customForms/js/custom-form-elements.js HTTP/1.1" 200 6366
95.23.211.151 - - [01/Apr/2018:04:57:19 -0300] "GET /PCRS/static/main/js/jquery.center.js HTTP/1.1" 200 1222
95.23.211.151 - - [01/Apr/2018:04:57:20 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.widget.js HTTP/1.1" 200 7003
95.23.211.151 - - [01/Apr/2018:04:57:20 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.mouse.js HTTP/1.1" 200 4479
95.23.211.151 - - [01/Apr/2018:04:57:20 -0300] "GET /PCRS/static/main/css/jquery-ui-1.8.23/css/ui-lightness/jquery-ui-1.8.23.custom.css HTTP/1.1" 200 33324
95.23.211.151 - - [01/Apr/2018:04:57:20 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.core.js HTTP/1.1" 200 8861
95.23.211.151 - - [01/Apr/2018:04:57:20 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.slider.js HTTP/1.1" 200 17570
95.23.211.151 - - [01/Apr/2018:04:57:20 -0300] "GET /PCRS/apps/portvill/datosPasajeros.html;jsessionid=C2772690E7ED97B8AFA153532540D6FF HTTP/1.1" 200 46445
95.23.211.151 - - [01/Apr/2018:04:57:20 -0300] "GET /PCRS/static/crs/css/crs.css HTTP/1.1" 200 58289
95.23.211.151 - - [01/Apr/2018:04:57:20 -0300] "GET /PCRS/static/main/js/uiLocale/uiLocale_es.js HTTP/1.1" 200 948
95.23.211.151 - - [01/Apr/2018:04:57:20 -0300] "GET /PCRS/static/main/js/jquery.ba-hashchange.js HTTP/1.1" 200 16427
95.23.211.151 - - [01/Apr/2018:04:57:20 -0300] "GET /PCRS/static/main/js/jquery.validate.js HTTP/1.1" 200 35367
95.23.211.151 - - [01/Apr/2018:04:57:20 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.datepicker.js HTTP/1.1" 200 77499
95.23.211.151 - - [01/Apr/2018:04:57:21 -0300] "GET /PCRS/static/main/js/jquery-1.8.1.js HTTP/1.1" 200 259996
95.23.211.151 - - [01/Apr/2018:04:57:21 -0300] "GET /PCRS/static/crs/images/joomla/arrowRight.JPG HTTP/1.1" 200 961
95.23.211.151 - - [01/Apr/2018:04:57:21 -0300] "GET /images/banners/balearia.png HTTP/1.1" 404 1005
