95.21.139.174 - - [06/Mar/2018:19:17:58 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:17:58 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:17:58 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:17:58 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:17:59 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:18:00 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:18:00 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:18:00 -0300] "GET /PCRS/static/crs/images/2LL.png HTTP/1.1" 200 22314
95.21.139.174 - - [06/Mar/2018:19:18:00 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:18:01 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:18:02 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:18:02 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:18:02 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:18:03 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:18:04 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:18:04 -0300] "GET /PCRS/static/crs/images/HR4.png HTTP/1.1" 404 1011
95.21.139.174 - - [06/Mar/2018:19:18:04 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:18:05 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:18:06 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:18:07 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:18:08 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:18:08 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:18:09 -0300] "GET /PCRS/apps/bdl/disponibilidad.html?option=com_hotelguide&view=procesoReserva&destinos=Malaga%20(spain)&destinosid=BMAL&hotel=&hotelid=&ini=07/02/2019&noches=1&fin=08/02/2019&hab=1&adul=1&nin=0&adul1=2&bebes1=0&nin1=0&nin_edad_1_1=0&nin_edad_1_2=0&nin_edad_1_3=0&nin_edad_1_4=0&adul2=2&bebes2=0&nin2=0&nin_edad_2_1=0&nin_edad_2_2=0&nin_edad_2_3=0&nin_edad_2_4=0&adul3=2&bebes3=0&nin3=0&nin_edad_3_1=0&nin_edad_3_2=0&nin_edad_3_3=0&nin_edad_3_4=0&adul4=2&bebes4=0&nin4=0&nin_edad_4_1=0&nin_edad_4_2=0&nin_edad_4_3=0&nin_edad_4_4=0&abZonaHidden=&abEstrellasHidden=&abEscalaHidden=&abRegimenHidden=&abTipoAlojamientoHidden=&abTipoHotelHidden=&abServiciosHidden=&researchSessionId=&Itemid=&&request_locale=en HTTP/1.1" 200 4810693
95.21.139.174 - - [06/Mar/2018:19:18:09 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.21.139.174 - - [06/Mar/2018:19:18:09 -0300] "GET /PCRS/static/main/css/jquery-ui-1.8.23/css/ui-lightness/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 90
95.21.139.174 - - [06/Mar/2018:19:18:09 -0300] "GET /PCRS/static/main/css/jquery-ui-1.8.23/css/ui-lightness/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 3762
95.21.139.174 - - [06/Mar/2018:19:18:09 -0300] "GET /PCRS/static/main/css/jquery-ui-1.8.23/css/ui-lightness/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 104
95.21.139.174 - - [06/Mar/2018:19:18:09 -0300] "GET /PCRS/static/crs/customForms/images/checkbox.gif HTTP/1.1" 200 1371
95.21.139.174 - - [06/Mar/2018:19:18:09 -0300] "GET /PCRS/static/crs/customForms/images/radio.gif HTTP/1.1" 200 1371
95.21.139.174 - - [06/Mar/2018:19:18:09 -0300] "GET /favicon.ico HTTP/1.1" 404 973
95.21.139.174 - - [06/Mar/2018:19:18:18 -0300] "GET /PCRS/static/crs/images/joomla/arrowRight.JPG HTTP/1.1" 200 961
95.21.139.174 - - [06/Mar/2018:19:18:18 -0300] "GET /images/banners/balearia.png HTTP/1.1" 404 1005
95.21.139.174 - - [06/Mar/2018:19:18:18 -0300] "GET /images/banners/alquilerdecoches.png HTTP/1.1" 404 1021
95.21.139.174 - - [06/Mar/2018:19:18:18 -0300] "GET /PCRS/static/crs/css/img/GifSelectNaranja.gif HTTP/1.1" 200 118
95.21.139.174 - - [06/Mar/2018:19:18:18 -0300] "GET /PCRS/static/crs/images/joomla/newsletter.JPG HTTP/1.1" 200 2649
95.21.139.174 - - [06/Mar/2018:19:18:18 -0300] "GET /PCRS/static/crs/images/joomla/banners.JPG HTTP/1.1" 200 1744
95.21.139.174 - - [06/Mar/2018:19:18:19 -0300] "GET /PCRS/static/crs/images/wait3.gif HTTP/1.1" 200 58913
95.21.139.174 - - [06/Mar/2018:19:18:19 -0300] "POST /PCRS/apps/bdl/datosPasajeros.html;jsessionid=06D2A85DD60CB92B6B92D6893A59842D HTTP/1.1" 200 172616
95.21.139.174 - - [06/Mar/2018:19:18:27 -0300] "POST /PCRS/apps/bdl/preReserva.html HTTP/1.1" 200 3662
95.21.139.174 - - [06/Mar/2018:19:19:00 -0300] "POST /PCRS/apps/bdl/preReserva.html HTTP/1.1" 200 4703
95.21.139.174 - - [06/Mar/2018:19:19:50 -0300] "POST /PCRS/apps/bdl/pago.html HTTP/1.1" 200 1582
