127.0.0.1 - - [10/Mar/2018:04:59:37 -0300] "GET / HTTP/1.1" 404 951
77.37.232.92 - - [10/Mar/2018:05:00:49 -0300] "GET /show HTTP/1.1" 404 959
95.19.40.47 - - [10/Mar/2018:05:03:05 -0300] "GET /PCRS/static/crs/customForms/css/form.css HTTP/1.1" 200 572
95.19.40.47 - - [10/Mar/2018:05:03:05 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.widget.js HTTP/1.1" 200 7003
95.19.40.47 - - [10/Mar/2018:05:03:05 -0300] "GET /PCRS/static/crs/customForms/js/custom-form-elements.js HTTP/1.1" 200 6366
95.19.40.47 - - [10/Mar/2018:05:03:05 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.mouse.js HTTP/1.1" 200 4479
95.19.40.47 - - [10/Mar/2018:05:03:05 -0300] "GET /PCRS/static/main/js/jquery.ba-hashchange.js HTTP/1.1" 200 16427
95.19.40.47 - - [10/Mar/2018:05:03:05 -0300] "GET /PCRS/static/main/js/jquery.validate.js HTTP/1.1" 200 35367
95.19.40.47 - - [10/Mar/2018:05:03:05 -0300] "GET /PCRS/static/crs/css/crs.css HTTP/1.1" 200 58289
95.19.40.47 - - [10/Mar/2018:05:03:06 -0300] "GET /PCRS/static/crs/images/2EST.png HTTP/1.1" 200 22314
95.19.40.47 - - [10/Mar/2018:05:03:06 -0300] "GET /PCRS/static/crs/images/4EST.png HTTP/1.1" 200 22289
95.19.40.47 - - [10/Mar/2018:05:03:06 -0300] "GET /PCRS/static/crs/images/5EST.png HTTP/1.1" 200 22003
95.19.40.47 - - [10/Mar/2018:05:03:06 -0300] "GET /PCRS/static/crs/images/3EST.png HTTP/1.1" 200 22317
95.19.40.47 - - [10/Mar/2018:05:03:06 -0300] "GET /PCRS/static/main/js/jquery-1.8.1.js HTTP/1.1" 200 259996
95.19.40.47 - - [10/Mar/2018:05:03:06 -0300] "GET /PCRS/static/crs/images/joomla/reservasTelefinicas.JPG HTTP/1.1" 200 3781
95.19.40.47 - - [10/Mar/2018:05:03:06 -0300] "GET /PCRS/static/crs/images/joomla/ajustarBusquedaTopLine.JPG HTTP/1.1" 200 1059
95.19.40.47 - - [10/Mar/2018:05:03:06 -0300] "GET /PCRS/static/crs/images/joomla/ajustarBusquedaLateral.JPG HTTP/1.1" 200 789
95.19.40.47 - - [10/Mar/2018:05:03:06 -0300] "GET /PCRS/static/crs/images/joomla/bottomAjustaReserva.JPG HTTP/1.1" 404 1057
95.19.40.47 - - [10/Mar/2018:05:03:06 -0300] "GET /PCRS/static/crs/images/joomla/boton86_22.JPG HTTP/1.1" 200 895
95.19.40.47 - - [10/Mar/2018:05:03:06 -0300] "GET /PCRS/static/crs/images/joomla/ajustarBusquedaBottomLine.JPG HTTP/1.1" 200 907
95.19.40.47 - - [10/Mar/2018:05:03:06 -0300] "GET /PCRS/static/crs/images/joomla/blueArrowLeft.png HTTP/1.1" 200 21943
95.19.40.47 - - [10/Mar/2018:05:03:06 -0300] "GET /PCRS/static/crs/images/HS.png HTTP/1.1" 404 1009
95.19.40.47 - - [10/Mar/2018:05:03:06 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.19.40.47 - - [10/Mar/2018:05:03:06 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
95.19.40.47 - - [10/Mar/2018:05:03:06 -0300] "GET /PCRS/static/crs/images/HS.png HTTP/1.1" 404 1009
95.19.40.47 - - [10/Mar/2018:05:03:06 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
