127.0.0.1 - - [21/Mar/2018:13:59:12 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [21/Mar/2018:13:59:13 -0300] "GET /PCRS/WEB-INF/classes/com/photel/apps/actions/BDL/PagoSabadell.java HTTP/1.1" 404 959
82.223.216.227 - - [21/Mar/2018:14:11:40 -0300] "GET /PCRS/static/main/css/jquery-ui-1.8.23/css/ui-lightness/jquery-ui-1.8.23.custom.css HTTP/1.1" 200 33324
82.223.216.227 - - [21/Mar/2018:14:11:40 -0300] "GET /PCRS/static/crs/customForms/css/form.css HTTP/1.1" 200 572
82.223.216.227 - - [21/Mar/2018:14:11:40 -0300] "GET /PCRS/static/main/js/jquery.center.js HTTP/1.1" 200 1222
82.223.216.227 - - [21/Mar/2018:14:11:40 -0300] "GET /PCRS/static/crs/customForms/js/custom-form-elements.js HTTP/1.1" 200 6366
82.223.216.227 - - [21/Mar/2018:14:11:40 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.mouse.js HTTP/1.1" 200 4479
82.223.216.227 - - [21/Mar/2018:14:11:40 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.widget.js HTTP/1.1" 200 7003
82.223.216.227 - - [21/Mar/2018:14:11:40 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.core.js HTTP/1.1" 200 8861
82.223.216.227 - - [21/Mar/2018:14:11:40 -0300] "GET /PCRS/static/crs/css/crs.css HTTP/1.1" 200 58289
82.223.216.227 - - [21/Mar/2018:14:11:40 -0300] "GET /PCRS/static/main/js/jquery-1.8.1.js HTTP/1.1" 200 259996
82.223.216.227 - - [21/Mar/2018:14:11:40 -0300] "GET /PCRS/static/main/js/jquery.ba-hashchange.js HTTP/1.1" 200 16427
82.223.216.227 - - [21/Mar/2018:14:11:40 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.slider.js HTTP/1.1" 200 17570
82.223.216.227 - - [21/Mar/2018:14:11:40 -0300] "GET /PCRS/static/main/js/jquery.validate.js HTTP/1.1" 200 35367
82.223.216.227 - - [21/Mar/2018:14:11:41 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.datepicker.js HTTP/1.1" 200 77499
82.223.216.227 - - [21/Mar/2018:14:11:41 -0300] "GET /PCRS/static/crs/images/1EST.png HTTP/1.1" 200 22181
82.223.216.227 - - [21/Mar/2018:14:11:41 -0300] "GET /PCRS/static/crs/images/2EST.png HTTP/1.1" 200 22314
82.223.216.227 - - [21/Mar/2018:14:11:41 -0300] "GET /PCRS/static/crs/images/4EST.png HTTP/1.1" 200 22289
82.223.216.227 - - [21/Mar/2018:14:11:41 -0300] "GET /PCRS/static/crs/images/3EST.png HTTP/1.1" 200 22317
82.223.216.227 - - [21/Mar/2018:14:11:41 -0300] "GET /PCRS/static/crs/images/VTV.png HTTP/1.1" 404 1011
82.223.216.227 - - [21/Mar/2018:14:11:41 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
82.223.216.227 - - [21/Mar/2018:14:11:41 -0300] "GET /PCRS/static/crs/images/5EST.png HTTP/1.1" 200 22003
82.223.216.227 - - [21/Mar/2018:14:11:41 -0300] "GET /PCRS/static/crs/images/joomla/bottomAjustaReserva.JPG HTTP/1.1" 404 1057
82.223.216.227 - - [21/Mar/2018:14:11:41 -0300] "GET /PCRS/static/crs/images/joomla/ajustarBusquedaTopLine.JPG HTTP/1.1" 200 1059
82.223.216.227 - - [21/Mar/2018:14:11:41 -0300] "GET /PCRS/static/crs/images/joomla/ajustarBusquedaTop.JPG HTTP/1.1" 200 1160
82.223.216.227 - - [21/Mar/2018:14:11:41 -0300] "GET /PCRS/static/crs/images/joomla/boton86_22.JPG HTTP/1.1" 200 895
82.223.216.227 - - [21/Mar/2018:14:11:41 -0300] "GET /PCRS/static/crs/images/joomla/reservasTelefinicas.JPG HTTP/1.1" 200 3781
82.223.216.227 - - [21/Mar/2018:14:11:41 -0300] "GET /PCRS/static/crs/images/joomla/ajustarBusquedaLateral.JPG HTTP/1.1" 200 789
82.223.216.227 - - [21/Mar/2018:14:11:41 -0300] "GET /PCRS/static/crs/images/joomla/ajustarBusquedaBottomLine.JPG HTTP/1.1" 200 907
82.223.216.227 - - [21/Mar/2018:14:11:41 -0300] "GET /PCRS/static/crs/images/joomla/navPixel.JPG HTTP/1.1" 200 732
82.223.216.227 - - [21/Mar/2018:14:11:41 -0300] "GET /PCRS/static/crs/images/joomla/blueArrowLeft.png HTTP/1.1" 200 21943
