0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:30:29 -0300] "GET /PCRS/static/crs/images/ALBER.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:30:29 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:30:29 -0300] "GET /PCRS/static/crs/images/joomla/bottomAjustaReserva.JPG HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:30:30 -0300] "GET /PCRS/static/crs/images/ALBER.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:30:30 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:30:30 -0300] "GET /PCRS/static/crs/images/AT1.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:30:30 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:30:30 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:30:30 -0300] "GET /PCRS/static/crs/images/AT1.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:30:30 -0300] "GET /PCRS/static/crs/images/SUP.png HTTP/1.1" 404 1011
